"","GeneID","TCGA-AO-A12D","TCGA-C8-A131","TCGA-AO-A12B","TCGA-BH-A18Q","TCGA-C8-A130","TCGA-C8-A138","TCGA-E2-A154","TCGA-C8-A12L","TCGA-A2-A0EX","TCGA-AO-A12D","TCGA-AN-A04A","TCGA-BH-A0AV","TCGA-C8-A12T","TCGA-A8-A06Z","TCGA-A2-A0CM","TCGA-BH-A18U","TCGA-A2-A0EQ","TCGA-AR-A0U4","TCGA-AO-A0J9","TCGA-AR-A1AP","TCGA-AN-A0FK","TCGA-AO-A0J6","TCGA-A7-A13F","TCGA-BH-A0E1","TCGA-A7-A0CE","TCGA-A2-A0YC","TCGA-AO-A0JC","TCGA-A8-A08Z","TCGA-AR-A0TX","TCGA-A8-A076","TCGA-AO-A126","TCGA-BH-A0C1","TCGA-A2-A0EY","TCGA-AR-A1AW","TCGA-AR-A1AV","TCGA-C8-A135","TCGA-A2-A0EV","TCGA-AN-A0AM","TCGA-D8-A142","TCGA-AN-A0FL","TCGA-BH-A0DG","TCGA-AR-A0TV","TCGA-C8-A12Z","TCGA-AO-A0JJ","TCGA-AO-A0JE","TCGA-AN-A0AJ","TCGA-A7-A0CJ","TCGA-AO-A12F","TCGA-A8-A079","TCGA-A2-A0T3","TCGA-A2-A0YD","TCGA-AR-A0TR","TCGA-AO-A03O","TCGA-AO-A12E","TCGA-A8-A06N","TCGA-A2-A0YG","TCGA-BH-A18N","TCGA-AN-A0AL","TCGA-A2-A0T6","TCGA-E2-A158","TCGA-E2-A15A","TCGA-AO-A0JM","TCGA-C8-A12V","TCGA-A2-A0D2","TCGA-C8-A12U","TCGA-AR-A1AS","TCGA-A8-A09G","TCGA-C8-A131","TCGA-C8-A134","TCGA-A2-A0YF","TCGA-BH-A0DD","TCGA-BH-A0E9","TCGA-AR-A0TT","TCGA-AO-A12B","TCGA-A2-A0SW","TCGA-AO-A0JL","TCGA-BH-A0BV","TCGA-A2-A0YM","TCGA-BH-A0C7","TCGA-A2-A0SX"
"1","NP_000116",-3.395620854,-2.251562018,3.960218904,-5.214141816,-1.953601226,-3.693427108,1.735764749,-3.982346061,-2.409174367,-6.185046773,-0.647912945,-3.701557425,-1.620148707,2.174542646,-4.937077756,-1.82808639,-6.30887326,-4.149940199,1.565939437,-0.937317247,2.002391575,0.125351597,-2.758500635,-2.831429086,-3.74289068,0.04524868,3.271104255,-0.491560744,-3.629764528,-2.372527909,-0.638051957,-5.838187747,-3.884256593,-0.534381502,1.518594637,-2.590237865,0.649027987,1.564827614,-3.065300412,-4.146798477,-3.358208235,3.57309843,-2.874990489,1.731555266,-3.799738463,-0.348235527,1.567544295,-2.861422872,3.80253042,-0.69559682,-0.817045158,2.996906488,0.535814316,-0.437820844,4.23412523,0.533800538,3.417681225,-6.332613368,-2.632895546,-3.506621762,-3.514697315,-2.772193971,-4.436531741,-4.153645829,-2.545969986,0.466295388,-5.861084656,-6.163465484,-7.503087013,2.117011556,0.820997102,0.228915376,-1.31692305,3.96656481,-1.783880768,-4.003082587,-0.874759941,-1.792979517,0.875820012,-4.319200853
"2","NP_000413",-3.11369579,2.496602311,-3.916309851,2.319658135,-1.976560308,1.415596307,-5.218972047,-0.07287471,-2.315377848,-2.018104865,3.544765509,1.727100176,-0.502413875,-1.605106041,0.63932133,-4.221202166,-7.67514593,-4.94323493,-2.234477682,-1.950953839,-3.341251912,0.498003515,-2.308529729,-2.024199533,6.038440438,-1.371657247,-3.0128645,-4.127919371,-3.118415289,-4.693713319,-5.991335833,-5.726661096,-3.638586538,-7.948411849,-4.738352657,-4.271024943,-3.88234425,-6.045501766,1.724230633,-3.87863032,-2.931931952,-4.74991719,-4.803388432,-4.530783543,-5.066575171,-3.936113412,-3.286105734,2.260817894,-4.316382418,0.305602368,-0.74019477,-3.86170277,-3.731461727,-0.348290194,-3.438624536,-5.05198896,-6.389547861,-0.411142508,-3.189632426,0.701650529,-2.95103086,-7.698594873,-4.25877743,2.968207212,-4.18945315,-2.689299159,-2.199945534,1.511070604,3.566231123,-1.346737943,-2.822684887,5.738268534,-5.494548592,-5.337660791,-3.610653749,-3.648293309,-0.430516157,-0.53417125,-0.24429257,3.2718275
"3","NP_000415",-3.056548818,0.65886437,-4.121398918,2.182497478,-2.639093819,0.943825354,-5.903908247,1.60770449,-0.803377966,-2.391920234,2.403406937,1.119792303,0.534572053,-1.185145076,4.768354646,-5.195183552,-7.407249328,-4.561612086,-2.049287865,-2.575684963,-3.169128695,0.650452028,-1.336271165,-1.295088969,5.542903496,-1.72292362,-4.512164585,-5.922811658,-4.445747356,-5.856105392,-6.656172954,-3.886471356,-3.059804542,-5.469260048,-3.354167056,-3.754123011,-3.750716008,-5.408513844,-2.823112805,-4.069529686,-2.224594384,-5.539917326,-5.109681785,-3.475219141,-4.565648335,-4.539342037,-3.644383521,0.192220662,-5.562909248,-0.355683515,-0.831824079,-3.774045242,-3.652488526,-0.332011894,-3.695040338,-2.80685323,-3.507123922,-4.495600329,-2.781589247,-3.732945245,-1.183981258,-5.818289185,0.78129793,2.169867778,-4.98374234,-2.215783292,-2.614464572,0.478179057,3.753427632,-1.183960644,-4.04741251,4.855834931,-7.449721282,-5.760190827,-5.945578368,-6.194612819,-2.701463861,0.291276793,-1.125656056,5.625403795
"4","NP_000517",-2.629851423,1.172945248,-4.528805578,2.399947299,-1.579696176,1.806910197,-4.650700805,2.523387121,-0.098028145,-1.18251757,3.290763746,1.43694197,-0.349415951,-0.926869082,4.933662919,-3.096605102,-5.187534626,-3.236449296,-1.115287047,-0.089172343,-2.187243985,0.66174451,-0.641226819,-0.49219936,2.080457469,-1.324295489,-3.736019635,-3.855640301,-2.857300785,-3.981163379,-4.492570067,-4.550054929,-2.547644935,-6.304753725,-4.157369533,-2.165762107,-2.252394533,-5.777296325,0.668726433,-3.75818191,-2.67429244,-4.077576649,-3.937640895,-2.822257828,-3.672691802,-3.754418043,-2.667569553,1.066449254,-2.624667436,0.123285232,0.119938426,-3.245730954,-2.467890518,0.666390508,-3.427353512,-3.202456965,-3.88445942,-1.367713262,-2.297470222,0.213150338,-1.649229761,-5.387528246,-2.818226868,0.543251179,-4.200434106,-0.72102798,-1.718568585,1.173102414,0.475722709,-0.498781781,-2.782799122,5.51961242,-5.1393955,-4.632492419,-1.899662154,-2.263673205,0.235849519,-0.781805664,-0.474116467,2.166540405
"5","NP_000917",-2.580324047,-1.514847689,3.829959632,-6.719563653,-2.186471916,-3.207027599,4.415295376,-4.821264878,1.545286862,-6.595510707,-4.128066973,-4.980277892,-0.527913529,0.360311276,-6.509343111,-0.65997813,-7.047502462,-6.012980856,1.65450848,-3.9906389,4.58815171,0.819839263,-0.179203121,3.995302562,-3.76814097,3.597380533,-1.644480431,2.67547475,-2.005958701,-3.794029051,-2.352025114,-9.552025223,-7.148753604,1.624627861,-0.376963209,-4.401106224,-1.26658302,-5.676719285,-6.394476332,-3.544556429,-6.112608831,0.104941804,-5.087803688,-0.223945453,-6.209995123,1.885406208,4.497986199,-2.36397449,1.642543455,1.924825748,0.651979578,4.527359538,-1.035480054,-1.542032197,-2.782087373,-1.687666593,5.688681904,-5.50843995,-1.422597983,-4.411915694,-5.849886915,-7.537914205,-5.654889414,-5.287953109,-4.998383616,2.568847187,-9.222700344,-7.017879447,-6.408164032,-3.171357897,3.115601728,0.287483978,-3.121979485,3.832382974,-1.864284509,-2.191459458,0.527591706,-2.377671881,-3.265472722,-5.606219788
"6","NP_001035932",0.421796907,-1.223400262,0.299101914,-4.10682042,-1.5665767,0.329425974,-0.710435964,-1.775386427,0.427232359,0.444678742,3.597545097,-3.205589329,1.490809076,0.889462092,-4.029719011,0.551641326,-1.241800389,-2.229806361,-0.748933278,-0.515313441,1.423431665,-1.08859026,2.761678156,0.644865924,-4.36783536,-0.905933293,1.254374203,-1.043284122,-1.45381032,1.193820527,3.585393111,-4.471986273,3.773154124,-3.439088494,0.461044709,0.114083502,-2.608070846,-3.543647889,-5.530553373,-1.144678685,1.794581997,-1.197717996,-0.818449408,1.89394979,-1.668984459,-1.133159521,-0.19680481,-3.422899263,2.061350088,-1.721516976,-0.240667244,0.222664194,-0.891149722,1.29310506,2.278602521,1.220189926,0.688986563,-1.741735736,2.65437581,-2.829892139,-0.530843937,-0.085066207,-4.418015667,-5.567371911,-0.909807459,0.893873149,1.461193589,-0.942046819,-5.41566933,4.096837772,-0.335690097,1.087921538,-1.240034236,0.397898961,0.625015292,-2.988950402,0.212642754,-2.41206555,-1.460351051,-4.235782959
"7","NP_001062",-1.433574799,5.492034198,-0.305079391,1.219027502,-0.152953219,-0.153316395,-0.620114707,0.113551694,-2.769352998,0.0240972715882843,-0.123587066235043,-0.171401990823015,0.424073552,-1.237640197,0.896467533,-0.141190794,1.460128196,3.374340131,-1.819813526,-2.070935313,-1.893852139,-1.616513811,1.158656804,0.245591091,0.549658633,-1.190103842,2.710035617,0.060162634,-3.852799835,0.0965976701910662,-0.126702316918888,2.021652977,-0.728020963,-0.835003059,-0.700921541,0.007964562,0.139318626,-4.771525923,-1.456740929,-0.047007331,-2.360440672,0.575580183,-3.415692019,-0.555500938,-0.496525271,0.407617207,1.614864003,-1.329675874,2.816521103,-2.206665966,-0.828868295,-2.174887643,1.162153492,0.731503708,-1.10834027,-1.62680448,-2.039708099,0.902901054,-1.080256672,-1.617604967,-1.273452124,1.275591364,1.384921945,6.836827057,1.626793504,0.024582826,-0.015029052,4.681895757,1.330469036,-1.062824049,1.14712189,-1.368055171,-0.379611798,-0.153103046,0.518882355,1.610751302,-1.531179862,0.15599503,-0.103720673,-0.642855096
"8","NP_001116539",-3.094646799,-5.461531594,2.050673404,-8.18818629,1.158994328,-5.309882619,2.981445419,-4.68966977,3.942725881,-2.553173923,1.8393251,-4.933042835,-2.899381347,3.432325737,-6.318320217,-6.359944797,-9.573384709,-5.703475714,2.455655733,-1.007651214,2.733915244,-0.913556783,-2.53753278,-4.810443473,-3.556669791,4.686700968,3.710608023,3.155545741,-3.733122353,-3.808423999,5.11490279,-7.642131326,-6.557479911,3.611853478,2.193284717,-5.280866466,-2.190781313,-8.480304283,-6.427008995,-5.901254555,-7.869241865,-3.21473962,-8.882090728,-6.834755844,-1.933967495,-1.055636164,-0.676761847,-2.964852733,2.074540848,1.897014659,-2.584604097,2.447270098,0.933403532,1.57797531,-2.331246402,-3.527054902,3.742609015,-6.352472969,-0.616885605,-4.665129096,-4.364670541,-6.741348341,-8.598945191,-5.311238009,-1.345385403,4.632528279,-3.828604208,-7.443187731,-6.881453321,-1.077966124,1.123659675,-0.278679174,-3.488116692,2.433465961,-1.565182595,-2.831963996,-1.507973097,-2.939435133,3.227610174,-3.776984542
"9","NP_001153651",-7.159701441,-6.947103895,-3.481188453,-4.233944931,-1.245149551,-1.510115026,6.989451203,-3.302438,-2.037740152,-5.030616957,2.789357668,-3.63070484,0.538821995,1.783978948,-6.395464078,8.403738684,-3.055843094,-6.040024994,2.548250642,-1.015925799,7.995409013,2.242692044,1.849683552,4.303438574,-3.402011764,5.697085139,3.230582632,-2.766524023,-1.233494957,-2.879949835,-5.088233384,-5.757330925,-5.104279073,-1.323025067,3.968362191,-4.671538361,0.46698893,-5.923971176,-5.244988881,-3.699094011,-2.159013417,-4.727505839,-3.718859929,-0.095383122,-5.077464885,-3.051862617,-0.862660699,-4.804426701,0.280597475,-3.056449228,3.164396129,3.672106363,-1.253337158,3.938328815,-1.401386901,2.961522608,-3.196171522,-6.044649162,3.868131367,-3.231000094,0.677012753,0.290994931,-6.284435933,-7.124133809,-2.330011173,-2.661029555,-6.593847344,-8.867211003,-8.523837792,1.20091606,4.581990166,2.5209,-2.173684116,-3.85595073,-2.414246093,-6.587078835,-6.132749807,-3.28795764,1.380093803,-5.367882948
"10","NP_001159403",-0.161102212,0.3552733,-0.524025827,-1.156193619,0.040559044,-0.668973018,-1.579778064,0.741370025,-1.97395852,-0.376249127,-0.76996574,-2.230522799,1.563058096,0.461101908,0.584218573,0.370902512,-0.836128392,-1.223163425,-2.898745505,-0.912493493,-2.01903266,-1.255154375,1.628715696,1.235098285,0.656972366,-0.459943405,-2.25230479,-3.16061215,-1.535408603,-0.166502085,-2.083015874,-0.465391339,-2.093779917,-1.576796512,0.217406624,1.271122264,-1.924724229,0.345331001,-0.592817971,-1.75828379,-1.564100363,0.827707886,0.722393681,-2.240344119,-1.66172465,0.943012894,0.496090911,-0.551489296,0.705999488,-0.952076859,-1.156960339,-2.989865738,-0.80400688,0.468337858,-0.93645715,2.183840051,-3.779644004,0.346832242,-4.358434073,-1.577270088,1.169102515,0.386719584,0.477634316,-0.853842832,2.541873217,-1.91895245,-0.234322995,0.690833199,1.549453632,-1.411091758,0.694301141,-2.035737233,-0.698151169,-0.558503486,-0.413801033,-1.984237402,-3.437449832,-2.464802508,1.5942986,-2.263545608
"11","NP_001246",-0.465886066,2.298256146,-1.064463233,0.539914985,-0.080796104,-2.307371364,-6.268956661,0.557685186,-3.395913743,-0.310281709,-3.765207311,-1.663702117,0.186076782,-0.607698749,3.177721705,-1.941884902,-1.40253835,1.928981169,0.117906056108924,-3.854108257,-5.461496985,-4.278716533,0.704668301,-1.008652676,2.935811045,-1.288774171,-0.131799823192513,-0.399705875746,-0.533949456864791,0.222161519,-1.379748861,1.71216652,-0.615595683,-0.347169061859814,-0.0476753639915387,-0.475291183713778,-4.515280051,0.508768691,-1.438667227,1.262016893,0.131636058,-0.6654484,-5.097180015,-2.162530076,-0.77965783,0.402771998,-1.602876128,1.470318237,2.645041222,0.738219302,1.228357493,-3.9920045,1.527064143,0.139099935870707,0.0218764560922172,0.229489972,-2.385598971,0.936000388,-3.549263702,-0.732478473,-2.655777002,1.996945,1.892262374,2.722052553,-0.064273805,-0.996656619,-1.598224348,1.61360028,2.11810718,-1.271027571,2.212306451,0.045400423,-1.236372864,-0.726944514,-0.77400979,-0.88219283,-1.478135828,1.621165308,-2.638477432,0.313471474
"12","NP_001784",0.35322054,1.921803219,-1.818304127,1.52011187,-0.195591514,1.232739348,-1.21472965,2.282129422,-0.92343751,-1.149533861,1.130099397,0.212204425,-1.377901994,0.515696833,1.63117097,-2.276586409,-0.369222886,1.643515262,-1.868123913,-1.363458345,-0.192179433,-1.018012245,-0.504628509,-0.014805539,-0.48560326,-1.72292362,1.338534499,-3.723083385,-2.122916239,1.121845786,3.27795398,2.311622269,-0.390745124,-2.330302492,0.238825357,2.746517845,-1.216172204,-0.706537212,2.721898987,2.33241691,-0.992609083,1.006998697,-2.293658208,-3.387255441,0.091519276,-1.736388146,-1.785395001,0.761084901,-1.183576896,-0.244439161,-4.564979496,2.00898246,0.669251792,-3.671776451,2.174345547,-0.179638677,-1.078900119,1.449040066,0.479298189,-0.060230503,-0.750047558,-1.927765781,4.847427795,2.332862079,-1.403950504,-0.212175108,-1.568806868,2.023718982,4.459829555,-2.081128547,-2.043739349,-2.32467567,-1.723335351,-2.094457267,-1.02486946,-0.637294036,-0.281329812,0.421775521155017,-0.347399010153462,-0.0978674344189534
"13","NP_002002",-3.307995497,1.537254531,-3.389729815,2.282858934,0.80476849,-0.105773586,1.223944292,3.321182467,-0.083020702,0.0240972715882843,-0.123587066235043,-0.171401990823015,-3.184127483,-2.726401818,1.509944903,0.541600281,3.38898373,5.54087612,2.045017443,1.305095133,-2.504107178,0.263684506,-0.0641379795668677,0.202577535961003,1.322948766,1.075366918,-4.066426722,0.199884788,0.099276995,2.244651752,-3.416533107,4.190846337,3.140241438,-0.069784551,-0.90172216,3.431156166,-1.199368599,-1.209422413,7.75723238,-0.0430668146893254,-0.149261632395905,-1.755200361,2.39450535,1.785686774,3.51451932,-2.148230982,-1.160098862,-3.287455397,1.467765883,-0.23754163244303,-0.603817585821898,-1.002172071,4.122286905,1.64308851,-0.040410721,-0.0678864060930619,-0.00985327598899044,-4.561798997,1.195102748,-0.241737455,0.082031495,1.320034953,3.280967929,3.743261747,-0.763394705,1.282580204,1.680487532,-0.285097417,-5.401541292,1.000283576,-1.565110163,-3.296914462,2.201655518,-3.638975847,1.786045302,1.94984194,1.992933144,0.733808661,-2.910696027,0.974856205
"14","NP_002408",-0.625897588,1.743696459,-1.507899053,-1.46396875,1.883845347,0.739025561,-3.307172106,-0.692468346,-2.953194175,-0.471535397,0.315314521,0.418014316,-0.451414567,-0.059649689,2.62302061,-1.951925947,1.884935665,3.344291088,-1.397097639,-3.610008016,-4.62044036,-1.159168275,0.371207719,-0.95657335,-0.583448134,-1.509795708,-2.479849293,-2.61963663,-2.653305078,-1.991061779,-1.637229134,1.408256397,-0.840446243,-1.650975857,0.999190368,0.223625633,-2.246793331,-0.731681472,-1.232627024,0.69613663,0.365853796,0.620402885,-2.012368394,-2.061033499,-1.7016536,-0.471788378,-2.461390826,0.192220662,0.705999488,-0.451477265,-2.89791722,-3.428153376,0.350635776,0.473763958,0.269542446,1.294576953,-3.465197756,3.858671584,-3.435149932,-1.588474221,-0.441373071,2.120019554,2.695859989,3.576941032,0.437189878,-0.781100888,-1.312072496,1.545247163,1.023184199,-1.51330076,-1.680075017,-2.851793087,0.455181036,-3.573312395,0.039676062,-1.177327273,-3.27831773,-1.320639803,-0.918145159,1.385987254
"15","NP_003003",-2.641280818,-0.102137245,-2.588773865,7.418020091,-0.749889352,-3.748284195,-0.879788321,-3.691740196,1.03128194,-2.842697591,-1.934415382,6.352761811,1.707556135,-1.514814434,0.286663681,-2.681575233,-5.55493568,1.460216101,-2.343176053,-1.119358104,-3.630731866,5.819585839,-2.360758495,5.779019477,2.272990931,-2.413615924,-2.292826413,-2.709202113,2.250751718,-4.924032491,-5.557078059,-2.185689929,0.450362524,-4.809454293,-2.23236093,0.162008184,1.080320524,-4.582943972,0.397620902,5.561797851,-0.022947649,-4.738711514,-0.380887476,-0.261160865,-1.026491343,-1.339080939,-2.13691283,2.864158753,-5.793747549,0.614614464,1.999817163,-5.266592335,-5.553291767,-2.125337948,-3.616143168,1.152565356,-2.846786802,0.221054773,4.424868246,1.860157864,-2.101057634,-1.602985707,4.902976017,7.053043987,-1.4808172,-2.901321189,-0.940342519,-0.634457793,5.2474677,0.920787685,-1.09117342,7.624177518,-2.451948394,-1.743300548,-0.6903899,5.039334416,-0.609539772,4.436860301,-0.012237374,1.30256936
"16","NP_004314",-1.227845699,-1.356980333,3.048403999,-1.159539001,-1.68137211,0.219711799,3.327676905,-2.192104271,0.115827917,-1.475706095,0.021728067,-0.283763671,-1.284403263,-0.760984501,-0.433345688,-0.42234006,-0.686871714,-1.382423353,1.251921921,-0.486352395,0.351573455,-0.498558055,3.838394252,4.017002281,2.481305824,0.447823624,2.03675325,0.862669365,-0.047599914,0.2689451,2.048197454,-1.812075649,0.158889577,-2.455236126,-0.326093718,-1.539318043,-0.488015973,-1.754214715,-1.619404248,-0.001555101,-0.041685068,-0.69346259,-0.155855625,0.787637099,-0.659870978,-1.026564905,-0.886320553,-0.696783625,0.013484583,0.370494908,0.114026858,-0.229838179,-1.60463174,0.153624057,-1.477466314,-1.001277205,0.640072702,-3.605228243,0.949585242,0.605294987,-0.54873811,-0.93975061,-1.88131352,-2.417257558,-2.922982827,-1.293487461,0.752499748,-1.838232132,-2.279244791,5.554262425,-0.994978339,-0.212301425,-0.793346843,3.364174015,-0.011782331,-1.058017605,3.12674937,-0.90562287,0.277831621,-1.19996746
